storyBegin,阿朵王國多年來一直太平，但有一天，地平線上烏云密布。邪惡的巫師馬拉卡回來了，他決心征服阿多並奴役其人民。馬拉卡帶著他的亡靈軍隊和黑魔法開始向首都進軍，意圖摧毀他所經過的一切。你是城市防禦的指揮官，負責保護阿多的人民並阻止馬拉卡的軍隊到達城門。你必須建造和升級防禦建築，招募和訓練士兵，並戰略性地部署你的部隊以抵禦敵人的進攻。隨著遊戲的進行，隨著馬拉卡軍隊的實力和數量的增長，你將面臨越來越困難的挑戰。你將需要調整你的防禦，解鎖新技術和法術來反擊敵人強大的魔法和先進的攻城武器。但 Ardor 的命運不僅僅取決於你的防禦。你將需要收集情報、招募盟友並發動反擊以削弱敵人的力量並最終擊敗馬拉卡本人。只有這樣，你才能恢復王國的和平，一勞永逸地消滅邪惡的巫師
storyPlayerWins,經過漫長而艱苦的戰鬥，你和你的軍隊終於打敗了馬拉卡和他的軍隊。邪惡的巫師被打敗了，他的軍隊被風吹散了。當你審視戰鬥的後果時，你會看到阿多的人們從他們的家園和避難所中走出來，歡呼慶祝他們的勝利。陽光再次明媚，空氣中瀰漫著音樂聲和歡笑聲。為了表彰你的勇敢和領導才能，阿朵國王授予你最高榮譽，王國人民為你歡呼英雄.王國開始重建工作，從戰爭造成的破壞中恢復過來，但未來看起來一片光明，阿朵的人民再次充滿希望。至於你，你知道你的工作還沒有完成。 Ardour 總會面臨新的威脅，需要克服新的挑戰。但現在，你可以沉浸在勝利的榮耀中，知道你已經拯救了你的王國並為這片土地帶來了和平
storyPlayerLose,儘管你盡了最大的努力，馬拉卡的部隊還是太強大了，他們攻破了城門。你的軍隊英勇作戰，但敵不過敵人的無情進攻。隨著戰鬥的進行，你看到城市陷入混亂。建築物在燃燒，人們四處逃竄，敵軍在街道上橫衝直撞。你知道大勢已去，勝利無望。你懷著沉重的心情，命令部隊撤退，希望稍後重新集結，發動反攻。但當你逃離這座城市時，你會看到馬拉卡軍隊留下的廢墟。 Ardor 的人民一片混亂，王國一片廢墟。在接下來的幾天和幾周里，你試圖重建你的軍隊，並對敵人發起新的攻勢。但為時已晚。 Malakar 的軍隊已經征服了王國的大部分地區，他對權力的控制是強大到無法打破的。隨著歲月的流逝，你聽到了叛亂和反抗的謠言，但他們很快就被邪惡巫師的力量粉碎了。你在恥辱和遺憾中度過餘下的日子，被你未能保護阿多的人民和擊敗馬拉卡的記憶所困擾。
cancel,取消
continue,繼續
accept,接受
newGame,新遊戲
start,開始
load,加載
changeLanguage,改變語言
exitGame,出口
deleteConfirmation,您確定要刪除這個保存的遊戲嗎？
yes,是的
no,不
pikeman,長槍兵
pikemanDescription,長槍兵是城堡防禦的中堅力量，堅守陣地抵禦敵軍的猛攻。他們身著重甲，手持長矛，形成一道牢不可破的防禦牆，即使是最堅決的攻擊也能抵擋。他們的紀律和訓練在他們精確的編隊和堅定不移的決心中顯而易見。他們堅守陣線抵禦敵人的衝鋒，他們的長矛齊刷刷地伸出來，形成一道任何入侵者都無法穿透的鋼鐵屏障。當敵軍逼近時，長槍兵仍然堅定不移，他們的盾牌形成了堅不可摧的防禦牆。他們是城堡大門的守護者，隨時準備擊退任何膽敢挑戰他們權威的入侵者。儘管他們穿著厚重的盔甲和笨重的武器，但長槍兵的移動卻出人意料地敏捷，他們靈活的步法使他們能夠躲閃和穿梭於敵人的攻擊。他們使用長矛發揮巨大作用，以致命的準確度打擊敵人並將敵人拒之門外。危難時刻，長槍兵第一個做出反應，衝到前線迎敵。他們是城堡防禦的無名英雄，在危險面前堅定不移。每一次突進和格擋，長槍兵都會創造出一道敵人無法攻破的鋼牆。他們傲然挺立，鋒利的長矛在陽光下閃閃發光，象徵著城堡的力量和堅韌。最終，是長槍兵在下方堅守陣地，而弓箭手則從上方射下箭雨。他們是第一道防線，不倒下最後一個入侵者，他們是不會退縮的。
archer,射手
archerDescription,弓箭手是城堡防禦的耳目，他們掃視地平線以尋找任何接近敵軍的跡象。他們手持強大的長弓和裝滿箭的箭袋，從安全距離向敵人降下死亡之雨。他們的技能經過多年的練習磨練，使他們能夠以致命的準確性射出箭。他們仔細瞄準，當他們將箭射向天空時，他們穩定的雙手從不搖晃。弓箭手是城堡防禦的重要組成部分，提供城堡牆壁和塔樓的掩護。他們與地面上的長槍兵協同作戰，幹掉任何突破城堡外圍的敵人。儘管他們距離前線很遠，但弓箭手並非沒有危險。敵軍經常用箭和其他射彈瞄准他們，他們必須保持警惕以免被擊中。為了應對這種情況，弓箭手製定了一系列防禦策略，使用盾牌和其他屏障保護自己，同時繼續向敵人射擊敵人。在非常需要的時候，弓箭手也可以使用他們的弓箭作為近距離武器。憑藉他們快速的反應和致命的準確性，他們是一支不可忽視的力量，即使在近距離也是如此。最後，是弓箭手為長槍兵提供掩護和支持以守住下方的地面。他們是城堡防禦的耳目，他們將繼續向敵人降下死亡之雨，直到最後一箭射出。
delete,刪除
loading,加載中
selectGame,選擇遊戲
automaticallyLoadGame,下次自動加載所選插槽
mainMenu,主菜單
upgrades,升級
information,信息
play,玩
fireballAbilityName,炎爆術
fireballAbilityDescription,炎爆術是一種強大的攻擊，可以釋放出灼熱的火球，焚燒其路徑上的敵人。
coinAbilityName,命運的眷顧
coinAbilityDescription,硬币奖励能力是一种强大的提升，可以在短时间内显着增加玩家的财富。 激活後，該能力會觸發一波好運，殺死敵人後會獲得加成
poisonAbilityName,毒液漩渦
poisonAbilityDescription,毒液漩渦技能是一種強大的攻擊，它會產生有毒的毒雲，對范圍內的所有敵人造成傷害。激活時，一團烏雲從施法者身上散發出來，向外擴散併吞沒範圍內的所有敵人。毒雲會隨著時間的推移造成持續傷害，削弱敵人的防禦並使他們容易受到攻擊。隨著雲的徘徊，它造成的傷害會加劇，使其成為對大群敵人特別有效的攻擊。然而，毒液漩渦並非沒有風險。毒雲還會傷害範圍內的盟友，因此玩家必須小心使用此技能，確保不會無意中傷害自己的部隊。總的來說，毒雲效果技能對於想要削弱敵人防禦的玩家來說是一個寶貴的工具並在戰鬥中佔據上風。如果小心使用，它可以證明是一種改變遊戲規則的攻擊，可以扭轉戰局，對玩家有利。
timewarpAbilityName,時間扭曲
timewarpAbilityDescription,時間扭曲能力是一種強大的控制能力，可以減緩其範圍內所有敵人的時間。激活後，玩家會創建一個時間場，使敵人移動和攻擊的速度降低，從而更容易躲避攻擊或發起反擊。隨著時間場的持續存在，敵人繼續移動得更慢，讓玩家利用他們的遲鈍。然而，該能力的持續時間是有限的，所以玩家必須在它消失之前充分利用他們在場內的時間。
 ,嗜血
 ,嗜血能力是一種強大的進攻能力，可以增強玩家單位的力量和速度。激活後，玩家和他們附近的盟友會籠罩在血紅色的光環中，這會助長他們的攻擊性並增加他們的傷害輸出。隨著嗜血能力的持續存在，玩家單位變得更強大、更快、更具攻擊性，甚至可以壓倒最難對付的敵人。然而，該技能帶來的強烈怒火也會讓玩家更加魯莽，更容易受到傷害。對於玩家來說，戰略性地使用 Bloodlust 技能很重要，利用它的效果發動決定性攻擊或快速完成一場戰鬥特別強硬的敵人。通過適當的計劃和執行，Bloodlust 技能可以成為扭轉戰局的強大工具，使其對玩家有利。
turretsUpgradesTitle,砲塔
castleUpgradesTitle,城堡
unitsUpgradesTitle,單位
abilitiesUpgradesTitle,能力
close,關閉
unitAttackSpeedUpgradeDescription,此升級提高了玩家單位的攻擊速度，使他們能夠更快地攻擊並更快地造成傷害。購買後，玩家的單位將明顯提高攻擊速度，使他們在戰鬥中更加有效。
unitAttackDamageUpgradeDescription,通過這次升級，您的單位將對敵方單位造成更大的傷害，使他們在戰鬥中更加強大。
unitHealthBonusUpgradeDescription,此升級增加了玩家單位的最大生命值，使他們在被擊敗之前能夠承受更多傷害。通過投資此升級，玩家可以大大提高他們單位的生存能力，使他們能夠更長時間地抵禦敵方單位的攻擊。
unitMovementSpeedUpgradeDescription,此升級提高了玩家單位的移動速度，使他們能夠更快、更有效地穿越戰場。購買後，玩家的單位會明顯提高移動速度
turretsAttackRangeUpgradeDescription,這種升級增加了砲塔的攻擊範圍，使他們能夠從更遠的距離與敵人交戰。購買後，砲塔將明顯增加其射程，使它們更有效地從安全距離擊中目標。
unitBuildingSpeedUpgradeDescription,此升級提高了玩家建造砲塔的速度，使他們能夠快速加固基地以抵禦敵人的攻擊。購買後，玩家的砲塔建造速度會更快，從而減少建立強大防禦工事所需的時間。
unitInstantlyBuildBuildingUpgradeDescription,此升級允許玩家的單位立即建造建築物，大大減少建立強大基地所需的時間。購買後，玩家的單位將獲得快速建造建築物的能力，而無需延長建造時間。
cashBonusAbilityBonusUpgradeDescription,此升級通過增加每個被殺死的敵方單位獎勵的獎勵金額來增強玩家的現金獎勵能力。購買後，玩家每擊敗一個敵方單位，就會獲得更大的獎勵金額。
poisonAbilityLengthUpgradeDescription,此升級延長了毒區效果的持續時間，使其能夠在更長的時間內造成傷害。延長的效果長度可以幫助玩家控制戰場並更有效地干掉敵方單位。
castleBonusHealthUpgradeDescription,此升級可增加城堡的生命值，使其更能抵禦敵人的攻擊。由於您的城堡是防禦的核心，因此保持它的良好狀態非常重要，而此次升級正是做到這一點的完美方式。擁有更堅固耐用的城堡，您甚至可以抵擋敵人最無情的攻擊並取得勝利。立即升級，為您的城堡提供生存所需的健康！
castleShootingUpgradeDescription,通過這次升級，您的城堡將配備一個強大的箭發射器，可以向您的敵人發射致命的箭雨。這種增強將極大地提高你的防禦能力，讓你在安全距離外將敵人拒之門外。
fireballAbilityInstantlyKillUpgradeDescription,通過這次升級，火球技能現在會立即燒毀任何處於其爆炸範圍內的敵方單位，無論他們的生命值如何。這次升級大大增強了火球技能的破壞力，使其對敵軍更加致命。用它輕鬆清除大群敵人或快速消滅高優先級目標。
buy,買
 ,買
abilityManaCostReductionUpgradeDescription,此升級減少了使用此能力所需的法力值，讓您可以在戰鬥中更頻繁地使用它。通過減少法力消耗升級，您可以更頻繁地釋放您的能力並扭轉戰局。立即升級，成為戰場上不可阻擋的力量！
abilityDamageIncreaseUpgradeDescription,這種升級增加了能力的傷害輸出，使它們對你的敵人更有效和更具破壞性。
cashBonusLongerEffectUpgradeDescription,通過此升級，現金獎勵能力的效果持續時間更長，讓您有更多時間利用擊敗敵人的額外現金。通過 Longer Effect 升級，您將能夠積累財富並建造一座堅不可摧的堡壘，讓您的敵人永遠無法攻破。你還在等什麼？立即升級並收穫勝利的回報！
poisonAbilityDamagePerSecondUpgradeDecription,通過這次升級，毒區效果技能現在每秒對處於其毒範圍內的所有敵人造成更多傷害。毒藥會以更快的速度侵蝕敵人的生命值，使其成為保衛城堡的更加致命和有效的工具。有了每秒更大的傷害升級，你的敵人一想到要穿過你的道路就會害怕地畏縮。你還在等什麼？現在升級，看著你的敵人在你的毒藥下崩潰！
poisonAbilityRangeUpgradeDescription,通過這次升級，中毒區域效果的範圍大大增加，允許玩家將毒雲散佈到更大的區域並影響更多的敵人。中毒的敵人會隨著時間的推移受到傷害，讓玩家的單位更容易擊倒他們。更大的射程也意味著玩家可以覆蓋更多的地面，保護更廣闊的戰場區域。對於想要用致命毒藥控制敵軍的玩家來說，這是一項必不可少的升級。
timeWarpAbilitySlowDownBonusUpgradeDescription,時間扭曲能力會減慢其影響範圍內所有敵方單位的移動速度，使您的防禦結構更容易將其擊落。移動減速獎勵將顯著增加，使敵人極難導航和有效協調他們的攻擊。有了這個能力，你就可以從戰略上減緩敵人的前進速度，為自己爭取更多的時間來加強防禦或發動反擊。
timeWarpAbilitySlowAttackSpeedUpgradeDescription,升級你的時間扭曲能力，使其範圍內的敵人的攻擊速度減慢。有了這個增強，敵人將難以像往常一樣快速攻擊，讓你的防禦有更好的機會抵擋他們。此升級非常適合想要使用時間扭曲能力作為防禦措施的玩家，因為它可以讓您從戰略上減緩敵人的攻擊並為您的砲塔爭取更多時間來完成他們的工作。
timeWarpFreezingEnemiesUpgradeDescription,隨著絕對零升級，時間扭曲能力將凍結敵人的踪跡，完全停止他們的移動和攻擊速度。此次升級極大地增強了玩家單位的防禦能力，為他們提供了寶貴的時間窗口來重新定位並為即將到來的敵人浪潮做好準備。
timeWarpEffectLength,可以增強時間扭曲能力，以將其時間影響擴展到更長的時間段。通過這次升級，陷入時間扭曲的敵人會發現自己被困的時間更長
turretsBonusHealthUpgradeDescription,此升級強化了您的砲塔，增加了它的生命值並使其更能抵抗敵人的攻擊。有了額外的裝甲板和更堅固的材料，你的強化砲塔可以承受更多的懲罰並在戰鬥中停留更長時間。此升級非常適合保護關鍵位置或抵禦大型敵軍。
turretsAttackSpeedUpgradeDescription,此升級提高了砲塔的射速。憑藉改進的機械和更好的訓練，砲塔能夠對敵方單位發動更快、更致命的彈幕。對於希望抵擋更大波的敵人並用更多火力保衛城堡的玩家來說，此升級至關重要。
selectedUnits,選定單位
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
